state,group_id,center_lat,center_lon,radius_m,count,path,label
GA,GA079,33.407137,-83.270017,18397,3,/geo_groups/GA079.csv,GA-079
GA,GA080,33.435792,-84.824463,29837,67,/geo_groups/GA080.csv,GA-080
GA,GA081,33.448512,-84.509315,24746,241,/geo_groups/GA081.csv,GA-081
GA,GA082,33.469026,-83.483070,25221,22,/geo_groups/GA082.csv,GA-082
GA,GA083,33.469412,-82.063615,23059,255,/geo_groups/GA083.csv,GA-083
GA,GA084,33.476258,-82.423364,28873,34,/geo_groups/GA084.csv,GA-084
GA,GA085,33.480372,-83.872376,30865,60,/geo_groups/GA085.csv,GA-085
GA,GA086,33.483504,-84.218036,32260,194,/geo_groups/GA086.csv,GA-086
GA,GA087,33.542231,-85.103177,33867,56,/geo_groups/GA087.csv,GA-087
GA,GA088,33.633710,-82.286914,10171,5,/geo_groups/GA088.csv,GA-088
GA,GA089,33.678330,-85.128549,25486,28,/geo_groups/GA089.csv,GA-089
GA,GA090,33.733671,-82.736389,5656,15,/geo_groups/GA090.csv,GA-090
GA,GA091,33.787043,-83.857398,28739,181,/geo_groups/GA091.csv,GA-091
GA,GA092,33.792260,-84.815783,31387,123,/geo_groups/GA092.csv,GA-092
GA,GA093,33.820720,-84.466316,30628,973,/geo_groups/GA093.csv,GA-093
GA,GA094,33.839438,-84.219808,33212,909,/geo_groups/GA094.csv,GA-094
GA,GA095,33.852733,-83.138285,30166,8,/geo_groups/GA095.csv,GA-095
GA,GA096,33.886894,-83.432955,35750,75,/geo_groups/GA096.csv,GA-096
GA,GA097,34.049648,-84.199295,31283,708,/geo_groups/GA097.csv,GA-097
GA,GA098,34.050195,-83.442776,30934,93,/geo_groups/GA098.csv,GA-098
GA,GA099,34.065474,-84.514066,30249,409,/geo_groups/GA099.csv,GA-099
GA,GA100,34.090587,-83.884628,26566,274,/geo_groups/GA100.csv,GA-100
GA,GA101,34.122059,-83.190676,25856,15,/geo_groups/GA101.csv,GA-101
GA,GA102,34.127621,-84.835397,26906,91,/geo_groups/GA102.csv,GA-102
GA,GA103,34.188587,-85.430325,14690,4,/geo_groups/GA103.csv,GA-103
GA,GA104,34.195022,-85.214273,29124,57,/geo_groups/GA104.csv,GA-104
GA,GA105,34.346734,-82.882932,10658,5,/geo_groups/GA105.csv,GA-105
GA,GA106,34.365300,-84.087172,27668,42,/geo_groups/GA106.csv,GA-106
GA,GA107,34.416176,-84.928625,31698,29,/geo_groups/GA107.csv,GA-107
GA,GA108,34.418871,-84.478580,27782,53,/geo_groups/GA108.csv,GA-108
GA,GA109,34.430304,-83.854397,26948,46,/geo_groups/GA109.csv,GA-109
